file,record_group,sample_type,concentration_molar,concentration_label,replicate,accumulation,instrument,acquisition,analyte,matrix,provenance_status,source_master_path,source_master_column_index,source_date,source_setting,source_scan_id,source_reuse_count
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc1.csv,calibration_curve_historical_replay,sample,1e-13,100fM,1,1,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv,1,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv#1,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc2.csv,calibration_curve_historical_replay,sample,1e-13,100fM,1,2,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv,2,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv#2,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc3.csv,calibration_curve_historical_replay,sample,1e-13,100fM,1,3,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv,3,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv#3,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc4.csv,calibration_curve_historical_replay,sample,1e-13,100fM,1,4,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv,4,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv#4,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep1_acc5.csv,calibration_curve_historical_replay,sample,1e-13,100fM,1,5,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv,5,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S1.csv#5,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc1.csv,calibration_curve_historical_replay,sample,1e-13,100fM,2,1,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv,1,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv#1,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc2.csv,calibration_curve_historical_replay,sample,1e-13,100fM,2,2,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv,2,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv#2,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc3.csv,calibration_curve_historical_replay,sample,1e-13,100fM,2,3,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv,3,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv#3,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc4.csv,calibration_curve_historical_replay,sample,1e-13,100fM,2,4,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv,4,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv#4,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep2_acc5.csv,calibration_curve_historical_replay,sample,1e-13,100fM,2,5,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv,5,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S2.csv#5,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc1.csv,calibration_curve_historical_replay,sample,1e-13,100fM,3,1,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv,1,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv#1,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc2.csv,calibration_curve_historical_replay,sample,1e-13,100fM,3,2,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv,2,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv#2,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc3.csv,calibration_curve_historical_replay,sample,1e-13,100fM,3,3,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv,3,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv#3,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc4.csv,calibration_curve_historical_replay,sample,1e-13,100fM,3,4,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv,4,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv#4,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100fM_rep3_acc5.csv,calibration_curve_historical_replay,sample,1e-13,100fM,3,5,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv,5,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-13M_750_5_5_L_S3.csv#5,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc1.csv,calibration_curve_historical_replay,sample,1e-07,100nM,1,1,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv,1,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv#1,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc2.csv,calibration_curve_historical_replay,sample,1e-07,100nM,1,2,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv,2,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv#2,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc3.csv,calibration_curve_historical_replay,sample,1e-07,100nM,1,3,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv,3,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv#3,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc4.csv,calibration_curve_historical_replay,sample,1e-07,100nM,1,4,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv,4,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv#4,1
data/quarantine/legacy_snapshot/Calibration curve/Original spectra/4ATP_100nM_rep1_acc5.csv,calibration_curve_historical_replay,sample,1e-07,100nM,1,5,portable_raman,750_5_5_L,4atp,dry_4atp_calibration,source_intensity_exact_axis_within_1e-5_context_consistent,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv,5,03-07-24,750_5_5_L,Test 4-ATP/03-07-24/4 ATP/750-5-5-L/AAB_4 ATP_10^-7M_750_5_5_L_S3.csv#5,1
