confirmation_id,confirmed_on,topic,author_confirmation,repository_interpretation,status,privacy_handling
signed_consent_forms_retained,2026-07-21,human_participant_consent,"Signed consent forms are retained for all three volunteers reported in the manuscript.","Retention is confirmed; the signed documents were not reviewed or published, and permission for open data sharing remains unverified.",confirmed_retained_governance_scope_pending,"Do not publish signed forms or direct identifiers."
excluded_volunteer_consent_form_retained,2026-07-21,human_participant_consent,"A signed consent form is retained for excluded acquisition volunteer 1.","Consent-form retention is confirmed for all four originally tested volunteers; the excluded volunteer's signed document was not reviewed or published, and permission for open data sharing remains unverified.",confirmed_retained_governance_scope_pending,"Do not publish the signed form, participant identity, or direct identifiers."
no_written_ethics_determination,2026-07-21,ethics_review,"The author initially reported that no written ethics approval, exemption, waiver, or other determination had been obtained.","This initial report was superseded later the same day when the advisor supplied a CFATA/CEID approval letter.",superseded_by_ethics_approval_document,"Retained to preserve the audit chronology; contains no participant identifiers."
ethics_approval_document_provided,2026-07-21,ethics_review,"The advisor provided a CFATA/CEID approval letter for the centre's non-invasive biofluid spectroscopy protocol.","The document was reviewed and recorded in metadata/ethics_approval_record.csv; its retrospective and public-data-sharing scope still requires written clarification.",document_reviewed_scope_clarification_pending,"The signed PDF remains private because it contains committee-member signatures."
vp_prefix_semantics,2026-07-21,volunteer_code_semantics,"V and P are alternative volunteer-code prefixes; the prefix differed because measurements occurred on another date and were performed by another person who selected the code.","A prefix change alone must not be counted as a different participant; same-numeric acquisition codes are confirmed in the pseudonymous crosswalk.",confirmed,"Only pseudonymous prefix semantics are recorded."
pseudonymous_crosswalk_retained,2026-07-21,volunteer_mapping,"A pseudonymous key connecting the V and P codes is retained.","The private key was not reviewed or published; a deidentified code-only crosswalk is recorded without names.",confirmed_deidentified_mapping_recorded,"Do not publish names or the private linkage key."
vp_numeric_crosswalk_confirmed,2026-07-21,volunteer_mapping,"Benchtop V2 equals portable P2, V3 equals P3, and V4 equals P4 in the acquisition-code namespace.","The same numeric suffix identifies the same pseudonymous acquisition volunteer across V and P prefixes.",confirmed,"Contains pseudonymous codes only."
publication_renumbering_confirmed,2026-07-21,publication_mapping,"Four volunteers were originally tested; acquisition volunteer 1 produced no usable signal and was excluded, so retained acquisition volunteers 2 through 4 were intentionally renumbered as publication Volunteers 1 through 3.","The canonical mapping is acquisition V2/P2 to publication V1, V3/P3 to publication V2, and V4/P4 to publication V3.",confirmed_intended_publication_mapping,"Contains no names, demographics, or private-key values."
aa_hs_session_metadata_correction,2026-07-21,session_mapping,"The embedded V2S2 value associated with AA_HS_V1S1_H is a metadata mistake; the correct acquisition session is V2S1.","Preserve historical source bytes and record V2S1 as the canonical acquisition/session alias in provenance metadata.",confirmed_metadata_typo,"Contains pseudonymous codes only."
aabc_blank_identity_confirmed,2026-07-22,4atp_blank_identity,"AABC is the same material code as AAB/AuAgBC, and Blanck_AABC_750_5_5_H.csv is an AuAgBC substrate without 4-ATP.","Together with the file's 24 September date and 750_5_5_H metadata, this confirms it as the context-matched analytical blank for the 24 September high-power optimisation condition. It is one five-channel export, not evidence for three independent blank substrates.",confirmed_material_alias_and_analyte_free_blank,"No human-participant information is involved; preserve the historical source filename and hash."
blind_release_snapshot_selected,2026-07-22,blind_dataset_selection,"Use the currently prepared 24 September concentration-labelled Blind snapshot rather than the 10 September coded blind experiment.","The release scope is the prepared 24 September 750_5_5_L set. All 135 nonblank prepared columns match same-date, same-setting master spectra with agreeing concentration labels; the unavailable 10 September decoding key is not required for this selected scope.",confirmed_selected_release_scope,"Contains no human-participant information."
additional_4atp_blank_recollection,2026-07-22,4atp_blank_availability,"The author thinks additional setting-matched blanks probably existed but cannot recall clearly.","This recollection is not sufficient to identify or verify any 500_5_5_L, 750_5_5_L, or 750_5_5_M file. Those blanks remain missing or unidentified.",unresolved_author_recollection_no_file_identified,"No filename is inferred or assigned from uncertain recollection."
